Visible	Internal Field	Character Sheet field	InitMaster	AttackMaster	MagicMaster	CommandMaster	RoundMaster	Description	
	Characteristics								
ü	"		Fighter_class"	class1	ü	ü	ü	ü		"The specific Fighter class name, such as 'Ranger' or 'Paladin' or 'Fighter'"	
ü	"		Fighter_level"	level-class1	ü	ü	ü	ü		The Fighter class experience level 	
ü	"		Wizard_class"	class2		ü	ü	ü		"The specific Wizard class name, such as 'Illusionist' or 'Envoker' or 'Mage'"	
ü	"		Wizard_level"	level-class2	ü	ü	ü	ü		The Wizard class experience level 	
ü	"		Priest_class"	class3		ü	ü	ü		"The specific Priest class name, such as 'Healer' or 'Priest of Light' or 'Priest'"	
ü	"		Priest_level"	level-class3	ü	ü	ü	ü		The Priest class experience level 	
ü	"		Rogue_class"	class4		ü	ü	ü		"The specific Rogue class name, such as 'Thief' or 'Bard' or 'Assassin'"	
ü	"		Rogue_level"	level-class4	ü	ü	ü	ü		The Rogue class experience level 	
ü	"		Psion_class"	class5		ü	ü	ü		The specific Psion class name	
ü	"		Psion_level"	level-class5		ü	ü	ü		The Psion class experience level 	
ü	"		Total_level"	level-total			ü	ü		The calculated total level equivalent for multi-class characters	
									
ü	"		Race"	race		ü		ü		The race of the character	
									
ü	"		AC"	AC		ü	ü	ü	ü	Current adjusted Armour Class	
ü	"		MonsterAC"	monsterarmor		ü	ü	ü	ü	Monster base Armour Class (before magic & other adjustments)	
ü	"		MonsterThac0"	monsterthac0		ü	ü	ü	ü	Monster base Thac0 (before magic & other adjustments)	
ü	"		HP"	HP		ü	ü	ü	ü	Current Hit Points	
	"		Thac0"	thac0		ü	ü	ü	ü	Legacy base Thac0 field (still listed for backwards compatability)	
ü	"		Thac0_base"	thac0-base		ü	ü	ü	ü	"Base Thac0 by class & level (before weapon, magic & other adjustments)"	
ü	"		Token_AC"	bar1 | value		ü			ü	Current AC displayed on Token (usually same as AC)	
ü	"		Token_Thac0"	bar2 | value		ü			ü	Current Thac0 displayed on Token (usually same as Thac0_base)	
ü	"		Token_HP"	bar3 | value		ü			ü	Current HP displayed on Token (usually same as HP)	
ü	"		Token_MaxAC"	bar1 | max		ü			ü	Calculated AC under normal circumstances (only if different from AC)	
ü	"		Token_MaxThac0"	bar2 | max		ü			ü	Calculated base Thac0 (only if different from Base_Thac0)	
ü	"		Token_MaxHP"	bar3 | max		ü			ü	Current maximum HP displayed on Token	
									
ü	"		Constitution"	constitution				ü		"The Character's Constitution score, used for adjusting some race's saves"	
ü	"		Wisdom"	wisdom			ü			"The Character's Wisdom score, used for Priest's additional spell knowledge"	
ü	"		Wisdom_defAdj"	wisdef		ü				"The Wisdom mental attack bonus, used for situational saving throw bonuses"	
ü	"		Dex_acBonus"	dexdefense		ü				"The Dexterity defense bonus, which adjusts Armour Class for most attacks"	
ü	"		Dex_missile"	dexmissile		ü				"The Dexterity missile attack bonus, which adjusts many ranged weapon attacks"	
ü	"		Strength_dmg"	strengthdmg		ü				"The Strength damage bonus, which adjusts many damage rolls"	
	"		Magic_dmgAdj"	strengthdmg | max		ü				"The current spell effect damage bonus, set only when certain magic is used"	
ü	"		Strength_hit"	strengthhit		ü	ü			"The Strength attack bonus, which adjusts many attack rolls"	
	"		Magic_hitAdj"	strengthhit | max		ü				"The current spell effect attack bonus, set only when certain magic is used"	
									
	Monster Characteristics								
ü	"		Monster_attks"	monsteratknum	ü					The number of attacks per round that a monster has	
ü	"		Monster_dmg1"	monsterdmg	ü	ü				"The first innate monster damage field (can be attack_name,dmg_roll,speed)"	
ü	"		Monster_dmg2"	monsterdmg2	ü	ü				"The second innate monster damage field (can be attack_name,dmg_roll,speed)"	
ü	"		Monster_dmg3"	monsterdmg3	ü	ü				"The third innate monster damage field (can be attack_name,dmg_roll,speed)"	
ü	"		Monster_hitDice"	hitdice	ü	ü	ü	ü		The number of Hit Dice the monster has	
ü	"		Monster_hpExtra"	monsterhpextra	ü		ü	ü		"The Hit Dice plusses for the monster, as in the '+2' in 1d4+2"	
ü	"		Monster_int"	monsterintelligence	ü			ü		"The Monster's intelligence (1-20), which affects saving throws"	
ü	"		Monster_speed"	monsterini	ü					The default speed for innate monster attacks if not specified as part of the damage	
ü	"		MonsterCritHit"	monstercrit		ü				The Critical Hit threshold for monster attack dice rolls	
	"		MonsterCritMiss"	monstercrit | max		ü				The Critical Miss threshold for monster attack dice rolls	
									
	Armour Class								
ü	"		Armour_normal"	ACtouch		ü		ü		"The system calculated Armour Class under normal, frontal attack"	
ü	"		Armour_back"	ACback		ü		ü		The system calculated Armour Class from behind	
ü	"		Armour_head"	AChead		ü		ü		The system calculated Armour Class for a called head shot	
ü	"		Armour_missile"	ACmissile		ü		ü		The system calculated Armour Class against missiles	
ü	"		Armour_surprised"	ACsurprise		ü		ü		The system calculated Armour Class when surprised	
	"		Shieldless_normal"	ACshieldless		ü		ü		"The system calculated shieldless Armour Class under normal, frontal attack"	
	"		Shieldless_back"	ACshieldless-back		ü		ü		The system calculated shieldless Armour Class from behind	
	"		Shieldless_head"	ACshieldless-head		ü		ü		The system calculated shieldless Armour Class for a called head shot	
	"		Shieldless_missile"	ACshieldless-missile		ü		ü		The system calculated shieldless Armour Class against missiles	
	"		Shieldless_surprised"	ACshieldless-surprise		ü		ü		The system calculated shieldless Armour Class when surprised	
	"		Armourless_normal"	ACarmourless		ü		ü		"The system calculated armourless Armour Class under normal, frontal attack"	
	"		Armourless_back"	ACarmourless-back		ü		ü		The system calculated armourless Armour Class from behind	
	"		Armourless_head"	ACarmourless-head		ü		ü		The system calculated armourless Armour Class for a called head shot	
	"		Armourless_missile"	ACarmourless-missile		ü		ü		The system calculated armourless Armour Class against missiles	
	"		Armourless_surprised"	ACarmourless-surprise		ü		ü		The system calculated armourless Armour Class when surprised	
									
	Thievish Abilities								
